trade,trade_category,permit_year,permits,contractors,p25_job_value,median_job_value,p75_job_value,p90_job_value
hvac,HVAC,2022,1401318,68514,3215,8010,43097,250941
hvac,HVAC,2023,1539132,66512,3931,9624,53798,305471
hvac,HVAC,2024,1002157,60530,4269,10877,56593,299417
plumbing,Plumbing,2022,1381080,69703,1679,9806,75299,409966
plumbing,Plumbing,2023,1544703,68480,1822,11285,88459,451838
plumbing,Plumbing,2024,978458,61922,1904,11325,88605,453248
electrical,Electrical,2022,2605462,96996,1011,5236,31025,161897
electrical,Electrical,2023,2771860,94178,1059,5791,34990,202791
electrical,Electrical,2024,1680285,86411,1165,6481,39701,217184
roofing,Roofing,2022,415901,31508,7424,18945,78335,346747
roofing,Roofing,2023,537970,33303,7219,17275,83112,331148
roofing,Roofing,2024,305197,30150,9131,28412,113388,370784
fire-life-safety,Fire Protection,2022,1111370,35217,1847,7822,34986,211647
fire-life-safety,Fire Protection,2023,1192187,38460,2799,10280,47286,272105
fire-life-safety,Fire Protection,2024,757170,36577,3368,11986,61875,274895
